x,original,kalman
0.0000000000,2.7801341409,2.7801341409
0.0100000000,3.1098829159,2.9710413264
0.0200000000,3.0525675566,3.0047220470
0.0300000000,4.1911605665,3.4198080053
0.0400000000,3.0002503947,3.2847234644
0.0500000000,4.0060478133,3.5075406905
0.0600000000,2.0824566538,3.0763082830
0.0700000000,3.6353161566,3.2437447570
0.0800000000,2.0711067145,2.8942853682
0.0900000000,2.2009941221,2.6881942206
0.1000000000,2.3526867392,2.5885833596
0.1100000000,3.9294861810,2.9864476381
0.1200000000,2.4677968672,2.8326036210
0.1300000000,2.7772459595,2.8161857074
0.1400000000,1.6460506150,2.4691741884
0.1500000000,2.0929970062,2.3576203981
0.1600000000,2.0845031506,2.2766300829
0.1700000000,3.1150013669,2.5252388483
0.1800000000,3.1598916685,2.7134365507
0.1900000000,2.6212477651,2.6860992747
0.2000000000,3.1418387033,2.8212421864
0.2100000000,1.7525280411,2.5043306925
0.2200000000,1.8768709862,2.3182667759
0.2300000000,3.2632510709,2.5984878865
0.2400000000,3.1764717295,2.7698804320
0.2500000000,3.2810148814,2.9214497753
0.2600000000,2.5461500556,2.8101602091
0.2700000000,4.6865660745,3.3665805371
0.2800000000,2.0415518294,2.9736629286
0.2900000000,0.6243990464,2.2770235733
0.3000000000,2.5956259001,2.3715003671
0.3100000000,2.2197120007,2.3264897787
0.3200000000,2.1781540512,2.2825030192
0.3300000000,3.3360400680,2.5949138023
0.3400000000,2.2512420678,2.4930030477
0.3500000000,3.5021256826,2.7922433951
0.3600000000,1.6974511354,2.4675989913
0.3700000000,1.8247369220,2.2769677812
0.3800000000,1.8194249919,2.1412902545
0.3900000000,3.6267133503,2.5817704379
0.4000000000,2.6214196270,2.5935278168
0.4100000000,2.5245637126,2.5730775347
0.4200000000,2.3814448046,2.5162516914
0.4300000000,2.1387322296,2.4043038954
0.4400000000,2.1547894823,2.3303140976
0.4500000000,4.1941257696,2.8829998001
0.4600000000,1.4350355606,2.4536274848
0.4700000000,2.9027953635,2.5868215560
0.4800000000,2.9564426429,2.6964272062
0.4900000000,2.3154666281,2.5834589981
0.5000000000,1.8022501381,2.3518030996
0.5100000000,2.5893681657,2.4222494958
0.5200000000,3.8499317172,2.8456074794
0.5300000000,4.1485160352,3.2319656835
0.5400000000,2.2399881486,2.9378094611
0.5500000000,0.9719102171,2.3548512036
0.5600000000,3.2957951652,2.6338741769
0.5700000000,4.1784490315,3.0918949369
0.5800000000,2.9815814169,3.0591830990
0.5900000000,4.3253814147,3.4346554260
0.6000000000,2.3090522120,3.1008744907
0.6100000000,2.8871919190,3.0375100940
0.6200000000,3.2275488049,3.0938632546
0.6300000000,3.7070709822,3.2757009095
0.6400000000,0.6306683226,2.4913557338
0.6500000000,3.9377337833,2.9202576880
0.6600000000,1.2631842141,2.4288771313
0.6700000000,3.8002753619,2.8355449325
0.6800000000,1.1684932905,2.3412054981
0.6900000000,2.9822040072,2.5312840970
0.7000000000,3.3563485053,2.7759447078
0.7100000000,1.8541280615,2.5025936561
0.7200000000,3.0102617268,2.6531350914
0.7300000000,3.6115512223,2.9373391773
0.7400000000,2.5451121052,2.8210300576
0.7500000000,2.3237203824,2.6735602508
0.7600000000,3.1763096986,2.8226431415
0.7700000000,1.7695569476,2.5103660528
0.7800000000,2.8893215219,2.6227396755
0.7900000000,1.7532521929,2.3649060610
0.8000000000,1.5408243840,2.1205368646
0.8100000000,3.3591456151,2.4878279153
0.8200000000,2.5979784398,2.5204914193
0.8300000000,3.6857739002,2.8660386525
0.8400000000,2.7534986084,2.8326665720
0.8500000000,1.4829180390,2.4324186675
0.8600000000,3.4890842030,2.7457571568
0.8700000000,2.4134496660,2.6472163001
0.8800000000,2.1843168163,2.5099503251
0.8900000000,2.0325907884,2.3683964359
0.9000000000,1.0156156699,1.9672493677
0.9100000000,3.2593482594,2.3504021263
0.9200000000,1.7605591788,2.1754929503
0.9300000000,4.1331081521,2.7559946979
