x,original,kalman
0.0000000000,0.1970230203,0.1970230203
0.0010000000,0.1797145450,0.1825754500
0.0020000000,0.2733174872,0.2251710873
0.0030000000,-0.1596231555,0.0936284864
0.0040000000,-0.1475719136,0.0257226870
0.0050000000,-0.1616800651,-0.0209379322
0.0060000000,-0.2547063718,-0.0747440932
0.0070000000,0.2184093142,-0.0105866173
0.0080000000,-0.2080136896,-0.0524187653
0.0090000000,0.2948195398,0.0196455984
0.0100000000,0.0442213074,0.0246785557
0.0110000000,-0.2771811010,-0.0366159875
0.0120000000,0.2169516690,0.0145923409
0.0130000000,0.2753134739,0.0670616639
0.0140000000,0.1596342935,0.0856499913
0.0150000000,0.2007167298,0.1087220117
0.0160000000,0.0464593707,0.0962491732
0.0170000000,0.1597424144,0.1089610735
0.0180000000,-0.5269413366,-0.0183043370
0.0190000000,-0.0598971858,-0.0266264616
0.0200000000,0.0796748114,-0.0053603928
0.0210000000,-0.0132244799,-0.0069334855
0.0220000000,-0.0363240951,-0.0128122658
0.0230000000,-0.2739821870,-0.0650499944
0.0240000000,-0.1196271723,-0.0759659307
0.0250000000,0.3030954743,-0.0001514238
0.0260000000,-0.1342259503,-0.0269668330
0.0270000000,0.0210240845,-0.0173685341
0.0280000000,0.1385821396,0.0138218407
0.0290000000,-0.0092340742,0.0092106350
0.0300000000,-0.2498416736,-0.0425999900
0.0310000000,-0.2168612072,-0.0774523038
0.0320000000,0.1767197838,-0.0266178206
0.0330000000,0.2482946454,0.0283647180
0.0340000000,0.0665859837,0.0360089752
0.0350000000,0.1886753315,0.0665422568
0.0360000000,-0.0443034056,0.0443731195
0.0370000000,0.1758349037,0.0706654800
0.0380000000,-0.0055548797,0.0554214067
0.0390000000,0.2425979180,0.0928567111
0.0400000000,-0.1667592937,0.0409335082
0.0410000000,0.2449030840,0.0817274243
0.0420000000,0.1935288832,0.1040877164
0.0430000000,0.0863002412,0.1005302214
0.0440000000,-0.1328353829,0.0538571002
0.0450000000,-0.1274101183,0.0176036564
0.0460000000,0.3448646060,0.0830558465
0.0470000000,-0.0238776540,0.0616691463
0.0480000000,-0.1308218913,0.0231709388
0.0490000000,0.3393047340,0.0863976979
0.0500000000,0.2498168470,0.1190815277
0.0510000000,0.0228021114,0.0998256444
0.0520000000,0.1315610651,0.1061727286
0.0530000000,-0.1076766289,0.0634028571
0.0540000000,0.2330097249,0.0973242306
0.0550000000,0.1788400524,0.1136273950
0.0560000000,0.0602496082,0.1029518376
0.0570000000,-0.2140372834,0.0395540134
0.0580000000,-0.1645198342,-0.0012607561
0.0590000000,-0.1515125602,-0.0313111169
0.0600000000,0.2674093922,0.0284329849
0.0610000000,0.2433128329,0.0714089545
0.0620000000,0.2028115997,0.0976894835
0.0630000000,0.0382911095,0.0858098087
0.0640000000,-0.0225075763,0.0641463317
0.0650000000,-0.1786483706,0.0155873913
0.0660000000,-0.1065673685,-0.0088435607
0.0670000000,0.1536560364,0.0236563587
0.0680000000,0.1014005244,0.0392051919
0.0690000000,0.1713066548,0.0656254844
0.0700000000,0.0965704160,0.0718144708
0.0710000000,0.0332947901,0.0641105346
0.0720000000,-0.1754852563,0.0161913764
0.0730000000,0.1369984029,0.0403527817
0.0740000000,0.1637009584,0.0650224171
0.0750000000,-0.4715997604,-0.0423020184
0.0760000000,-0.1848021715,-0.0708020491
0.0770000000,0.2379937742,-0.0090428844
0.0780000000,0.5361859699,0.1000028864
0.0790000000,0.0861039554,0.0972231002
0.0800000000,-0.0535074606,0.0670769881
0.0810000000,0.5411303107,0.1618876526
0.0820000000,0.2662171950,0.1827535611
0.0830000000,0.2529041338,0.1967836756
0.0840000000,0.5321185229,0.2638506451
0.0850000000,0.2130852443,0.2536975649
0.0860000000,0.1840512869,0.2397683093
0.0870000000,0.3018897766,0.2521926028
0.0880000000,-0.0326619425,0.1952216937
0.0890000000,-0.1379500288,0.1285873492
0.0900000000,0.3337828656,0.1696264525
0.0910000000,0.0406886337,0.1438388887
0.0920000000,-0.0973343744,0.0956042361
0.0930000000,0.2445215756,0.1253877040
0.0940000000,0.0113595158,0.1025820664
0.0950000000,0.3137414421,0.1448139415
0.0960000000,-0.0024123033,0.1153686926
0.0970000000,0.1019582750,0.1126866090
0.0980000000,0.2361369402,0.1373766753
0.0990000000,0.1619469869,0.1422907376
0.1000000000,-0.0547688478,0.1028788205
0.1010000000,0.3325509817,0.1488132528
0.1020000000,0.4076008099,0.2005707642
0.1030000000,0.2093004135,0.2023166941
0.1040000000,0.1601457568,0.1938825066
0.1050000000,0.0799049195,0.1710869892
0.1060000000,0.1811961101,0.1731088134
0.1070000000,0.3740788975,0.2133028302
0.1080000000,-0.1658134629,0.1374795716
0.1090000000,-0.0372893087,0.1025257955
0.1100000000,0.5243543393,0.1868915043
0.1110000000,-0.1004806426,0.1294170749
0.1120000000,-0.0657286727,0.0903879254
0.1130000000,0.5033273942,0.1729758191
0.1140000000,0.3536592884,0.2091125130
0.1150000000,0.3740081533,0.2420916411
0.1160000000,0.1554948562,0.2247722841
0.1170000000,-0.0880060093,0.1622166254
0.1180000000,0.1493128380,0.1596358679
0.1190000000,0.4974447811,0.2271976505
0.1200000000,0.1110296264,0.2039640457
0.1210000000,0.2669200768,0.2165552519
0.1220000000,-0.1558532317,0.1420735552
0.1230000000,0.2362596432,0.1609107728
0.1240000000,0.4167905983,0.2120867379
0.1250000000,0.1826163309,0.2061926565
0.1260000000,0.3488604974,0.2347262247
0.1270000000,0.2897226653,0.2457255128
0.1280000000,0.7995071892,0.3564818481
0.1290000000,0.4458224997,0.3743499784
0.1300000000,0.4698457545,0.3934491336
0.1310000000,0.3422533168,0.3832099703
0.1320000000,-0.1122913584,0.2841097045
0.1330000000,0.7145550538,0.3701987744
0.1340000000,0.4549546177,0.3871499431
0.1350000000,0.5534751733,0.4204149891
0.1360000000,0.0665346411,0.3496389195
0.1370000000,0.3398351244,0.3476781605
0.1380000000,0.0724089494,0.2926243183
0.1390000000,0.0641690594,0.2469332665
0.1400000000,0.0720255724,0.2119517277
0.1410000000,0.2140131831,0.2123640188
0.1420000000,-0.1241539548,0.1450604241
0.1430000000,0.1786105385,0.1517704469
0.1440000000,0.2637749007,0.1741713377
0.1450000000,-0.0391687497,0.1315033202
0.1460000000,0.2501898165,0.1552406195
0.1470000000,0.3132841319,0.1868493220
0.1480000000,0.3194428336,0.2133680243
0.1490000000,0.4235667316,0.2554077657
0.1500000000,0.2373827605,0.2518027647
0.1510000000,0.3540453494,0.2722512817
0.1520000000,-0.2565969647,0.1664816324
0.1530000000,0.1011379016,0.1534128862
0.1540000000,0.1296370992,0.1486577288
0.1550000000,0.3604657364,0.1910193303
0.1560000000,0.0461354226,0.1620425488
0.1570000000,0.2319420217,0.1760224434
0.1580000000,0.8207338643,0.3049647276
0.1590000000,0.6658169823,0.3771351785
0.1600000000,0.0305230056,0.3078127439
0.1610000000,0.4305875008,0.3323676953
0.1620000000,0.1824268577,0.3023795278
0.1630000000,0.1556928462,0.2730421915
0.1640000000,0.0923000080,0.2368937548
0.1650000000,0.5413971200,0.2977944278
0.1660000000,0.3618377491,0.3106030921
0.1670000000,0.2546715348,0.2994167806
0.1680000000,-0.1331860197,0.2128962205
0.1690000000,0.2091823550,0.2121534474
0.1700000000,0.6916461334,0.3080519846
0.1710000000,-0.0351119056,0.2394192066
0.1720000000,0.4782669001,0.2871887453
0.1730000000,0.1254437753,0.2548397513
0.1740000000,0.3246266170,0.2687971244
0.1750000000,0.0031296495,0.2156636295
0.1760000000,0.0452248964,0.1815758829
0.1770000000,0.4047245534,0.2262056170
0.1780000000,0.3493435003,0.2508331936
0.1790000000,0.2926292356,0.2591924020
0.1800000000,0.3823542746,0.2838247765
0.1810000000,0.3587435266,0.2988085265
0.1820000000,0.8108033850,0.4012074982
0.1830000000,0.1766796424,0.3563019271
0.1840000000,0.3122292559,0.3474873928
0.1850000000,0.5264781698,0.3832855482
0.1860000000,0.7247596135,0.4515803613
0.1870000000,-0.0601774890,0.3492287912
0.1880000000,0.1138802942,0.3021590918
0.1890000000,-0.1317241627,0.2153824409
0.1900000000,0.7543955568,0.3231850641
0.1910000000,0.5098371872,0.3605154887
0.1920000000,0.3711994371,0.3626522784
0.1930000000,-0.0866655772,0.2727887073
0.1940000000,0.3733820776,0.2929073813
0.1950000000,0.1124148438,0.2568088738
0.1960000000,0.3120000433,0.2678471077
0.1970000000,0.6412325455,0.3425241953
0.1980000000,0.1743829987,0.3088959560
0.1990000000,0.0990274100,0.2669222468
0.2000000000,0.7588692382,0.3653116451
0.2010000000,0.4658621223,0.3854217405
0.2020000000,0.2909670041,0.3665307932
0.2030000000,0.6956388117,0.4323523969
0.2040000000,0.1398577379,0.3738534651
0.2050000000,0.3678928412,0.3726613404
0.2060000000,0.6411754905,0.4263641704
0.2070000000,0.5604183100,0.4531749983
0.2080000000,0.0774575496,0.3780315086
0.2090000000,0.3799828173,0.3784217703
0.2100000000,0.4746886811,0.3976751525
